Player,Pos,year,sportsref_predicted_url
Cameron Mitchell,CB,2023,https://www.sports-reference.com/cfb/players/cameron-mitchell-1.html
Carrington Valentine,CB,2023,https://www.sports-reference.com/cfb/players/carrington-valentine-1.html
Chamarri Conner,DB,2023,https://www.sports-reference.com/cfb/players/chamarri-conner-1.html
Christian Gonzalez,CB,2023,https://www.sports-reference.com/cfb/players/christian-gonzalez-1.html
Christopher Smith,DB,2023,https://www.sports-reference.com/cfb/players/christopher-smith-1.html
Clark Phillips III,CB,2023,https://www.sports-reference.com/cfb/players/clark-phillips-iii-1.html
Cory Trice,CB,2023,https://www.sports-reference.com/cfb/players/cory-trice-1.html
DJ Turner,CB,2023,https://www.sports-reference.com/cfb/players/dj-turner-1.html
Daniel Scott,DB,2023,https://www.sports-reference.com/cfb/players/daniel-scott-1.html
Darius Rush,CB,2023,https://www.sports-reference.com/cfb/players/darius-rush-1.html
Darrell Luter Jr.,CB,2023,https://www.sports-reference.com/cfb/players/darrell-luter-jr-1.html
DeMarcco Hellams,DB,2023,https://www.sports-reference.com/cfb/players/demarcco-hellams-1.html
Deonte Banks,CB,2023,https://www.sports-reference.com/cfb/players/deonte-banks-1.html
Devon Witherspoon,CB,2023,https://www.sports-reference.com/cfb/players/devon-witherspoon-1.html
Emmanuel Forbes,CB,2023,https://www.sports-reference.com/cfb/players/emmanuel-forbes-1.html
Garrett Williams,CB,2023,https://www.sports-reference.com/cfb/players/garrett-williams-1.html
Gervarrius Owens,DB,2023,https://www.sports-reference.com/cfb/players/gervarrius-owens-1.html
JL Skinner,DB,2023,https://www.sports-reference.com/cfb/players/jl-skinner-1.html
Jakorian Bennett,CB,2023,https://www.sports-reference.com/cfb/players/jakorian-bennett-1.html
Jammie Robinson,DB,2023,https://www.sports-reference.com/cfb/players/jammie-robinson-1.html
Jay Ward,CB,2023,https://www.sports-reference.com/cfb/players/jay-ward-1.html
Jaylon Jones,CB,2023,https://www.sports-reference.com/cfb/players/jaylon-jones-1.html
Ji'Ayir Brown,DB,2023,https://www.sports-reference.com/cfb/players/jiayir-brown-1.html
Joey Porter Jr.,CB,2023,https://www.sports-reference.com/cfb/players/joey-porter-jr-1.html
Jordan Battle,DB,2023,https://www.sports-reference.com/cfb/players/jordan-battle-1.html
Jordan Howden,DB,2023,https://www.sports-reference.com/cfb/players/jordan-howden-1.html
Kelee Ringo,CB,2023,https://www.sports-reference.com/cfb/players/kelee-ringo-1.html
Mekhi Blackmon,CB,2023,https://www.sports-reference.com/cfb/players/mekhi-blackmon-1.html
Nic Jones,CB,2023,https://www.sports-reference.com/cfb/players/nic-jones-1.html
Riley Moss,CB,2023,https://www.sports-reference.com/cfb/players/riley-moss-1.html
Sydney Brown,DB,2023,https://www.sports-reference.com/cfb/players/sydney-brown-1.html
Tyrique Stevenson,CB,2023,https://www.sports-reference.com/cfb/players/tyrique-stevenson-1.html
Andru Phillips,CB,2024,https://www.sports-reference.com/cfb/players/andru-phillips-1.html
Caelen Carson,CB,2024,https://www.sports-reference.com/cfb/players/caelen-carson-1.html
Calen Bullock,SAF,2024,https://www.sports-reference.com/cfb/players/calen-bullock-1.html
Cam Hart,CB,2024,https://www.sports-reference.com/cfb/players/cam-hart-1.html
Chau Smith-Wade,CB,2024,https://www.sports-reference.com/cfb/players/chau-smith-wade-1.html
Cole Bishop,SAF,2024,https://www.sports-reference.com/cfb/players/cole-bishop-1.html
Cooper DeJean,CB,2024,https://www.sports-reference.com/cfb/players/cooper-dejean-1.html
Dadrion Taylor-Demerson,SAF,2024,https://www.sports-reference.com/cfb/players/dadrion-taylor-demerson-1.html
Daijahn Anthony,SAF,2024,https://www.sports-reference.com/cfb/players/daijahn-anthony-1.html
Deantre Prince,CB,2024,https://www.sports-reference.com/cfb/players/deantre-prince-1.html
Decamerion Richardson,CB,2024,https://www.sports-reference.com/cfb/players/decamerion-richardson-1.html
Elijah Jones,CB,2024,https://www.sports-reference.com/cfb/players/elijah-jones-1.html
Ennis Rakestraw Jr.,CB,2024,https://www.sports-reference.com/cfb/players/ennis-rakestraw-jr-1.html
Evan Williams,SAF,2024,https://www.sports-reference.com/cfb/players/evan-williams-1.html
Jaden Hicks,SAF,2024,https://www.sports-reference.com/cfb/players/jaden-hicks-1.html
James Williams,SAF,2024,https://www.sports-reference.com/cfb/players/james-williams-1.html
Jarrian Jones,CB,2024,https://www.sports-reference.com/cfb/players/jarrian-jones-1.html
Jarvis Brownlee,CB,2024,https://www.sports-reference.com/cfb/players/jarvis-brownlee-1.html
Javon Bullard,SAF,2024,https://www.sports-reference.com/cfb/players/javon-bullard-1.html
Jaylin Simpson,SAF,2024,https://www.sports-reference.com/cfb/players/jaylin-simpson-1.html
Jaylon Carlies,SAF,2024,https://www.sports-reference.com/cfb/players/jaylon-carlies-1.html
Josh Newton,CB,2024,https://www.sports-reference.com/cfb/players/josh-newton-1.html
Kamal Hadden,CB,2024,https://www.sports-reference.com/cfb/players/kamal-hadden-1.html
Kamari Lassiter,CB,2024,https://www.sports-reference.com/cfb/players/kamari-lassiter-1.html
Kamren Kinchens,SAF,2024,https://www.sports-reference.com/cfb/players/kamren-kinchens-1.html
